"CellType","Count","Percentage"
"T_cells",30198,32.06
"Epithelial_cells",22729,24.13
"Endothelial_cells",7231,7.68
"Tissue_stem_cells",6591,7
"B_cell",6149,6.53
"Macrophage",4820,5.12
"NK_cell",4525,4.8
"Monocyte",3614,3.84
"Fibroblasts",3223,3.42
"Chondrocytes",1547,1.64
"Smooth_muscle_cells",1113,1.18
"DC",675,0.72
"iPS_cells",481,0.51
"MSC",368,0.39
"Pre-B_cell_CD34-",295,0.31
"Pro-B_cell_CD34+",178,0.19
"GMP",86,0.09
"Keratinocytes",76,0.08
"Neutrophils",76,0.08
"Neurons",60,0.06
"Embryonic_stem_cells",46,0.05
"Hepatocytes",30,0.03
"HSC_CD34+",26,0.03
"CMP",18,0.02
"Neuroepithelial_cell",11,0.01
"Pro-Myelocyte",10,0.01
"Osteoblasts",9,0.01
"BM & Prog.",3,0
"MEP",2,0
"Astrocyte",1,0
"BM",1,0
"Gametocytes",1,0
"HSC_-G-CSF",1,0
"Myelocyte",1,0
