"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.02721002473483,0.892,0.056,0,"Endothelial_cells","RAMP2"
0,7.58787856185781,0.843,0.024,0,"Endothelial_cells","PLVAP"
0,8.01585209193261,0.822,0.011,0,"Endothelial_cells","VWF"
0,2.97502329068941,0.863,0.074,0,"Endothelial_cells","RNASE1"
0,7.97439166476195,0.789,0.007,0,"Endothelial_cells","EMCN"
0,5.09626363313068,0.874,0.094,0,"Endothelial_cells","GNG11"
0,5.37514825314594,0.856,0.077,0,"Endothelial_cells","PECAM1"
0,3.56148407182136,0.935,0.163,0,"Endothelial_cells","SPARCL1"
0,8.40557805264158,0.77,0.005,0,"Endothelial_cells","ADGRL4"
0,6.99533623772363,0.787,0.031,0,"Endothelial_cells","AQP1"
0,7.68927346220541,0.765,0.009,0,"Endothelial_cells","CLEC14A"
0,5.15338229534692,0.786,0.04,0,"Endothelial_cells","ESAM"
0,6.13846385225642,0.804,0.062,0,"Endothelial_cells","EGFL7"
0,5.29451310276102,0.805,0.064,0,"Endothelial_cells","HSPG2"
0,4.95087290647176,0.85,0.117,0,"Endothelial_cells","ENG"
0,3.80672337742441,0.872,0.145,0,"Endothelial_cells","A2M"
0,2.67348475940859,0.961,0.24,0,"Endothelial_cells","IGFBP7"
0,7.13665725445284,0.722,0.016,0,"Endothelial_cells","RAMP3"
0,6.10819967833027,0.716,0.02,0,"Endothelial_cells","CD34"
0,8.19996066195694,0.686,0.01,0,"Endothelial_cells","CLDN5"
0,1.74106248693273,0.851,0.192,0,"Endothelial_cells","SPARC"
0,3.22621086436269,0.822,0.164,0,"Endothelial_cells","CAV1"
0,6.5450718432843,0.673,0.02,0,"Endothelial_cells","CALCRL"
0,2.53286990613119,0.954,0.303,0,"Endothelial_cells","IFI27"
0,4.43346945986136,0.686,0.046,0,"Endothelial_cells","CD93"
0,8.16193282196541,0.64,0.003,0,"Endothelial_cells","CXorf36"
0,2.87276828403848,0.798,0.161,0,"Endothelial_cells","PTRF"
0,4.20532096702946,0.732,0.097,0,"Endothelial_cells","SPRY1"
0,6.53390356377746,0.652,0.019,0,"Endothelial_cells","CYYR1"
0,3.0300697681249,0.787,0.157,0,"Endothelial_cells","TCF4"
0,3.65696955866837,0.754,0.125,0,"Endothelial_cells","EPAS1"
0,2.65646078832757,0.872,0.243,0,"Endothelial_cells","TM4SF1"
0,5.66624813644903,0.663,0.044,0,"Endothelial_cells","PALMD"
0,2.63306666098335,0.916,0.303,0,"Endothelial_cells","CRIP2"
0,3.64206680012246,0.853,0.241,0,"Endothelial_cells","NPDC1"
0,2.52849883438069,0.882,0.272,0,"Endothelial_cells","IGFBP4"
0,3.93358222819508,0.704,0.116,0,"Endothelial_cells","ID1"
0,8.12186709855928,0.603,0.02,0,"Endothelial_cells","ACKR1"
0,4.12592037326765,0.611,0.032,0,"Endothelial_cells","S1PR1"
0,3.16706615080168,0.752,0.174,0,"Endothelial_cells","EMP1"
0,3.01877294160884,0.734,0.16,0,"Endothelial_cells","TGFBR2"
0,6.39843817292483,0.611,0.038,0,"Endothelial_cells","RBP7"
0,7.32697286917706,0.58,0.007,0,"Endothelial_cells","MMRN2"
0,8.53823458795745,0.574,0.003,0,"Endothelial_cells","CDH5"
0,2.76892639839896,0.773,0.202,0,"Endothelial_cells","BCAM"
0,6.42339656845557,0.588,0.018,0,"Endothelial_cells","SDPR"
