"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","69/599","215/18842",0.32093023255814,10.0951042435066,24.3037176263194,3.2395445662283e-50,1.31493113943207e-46,6.09602682469885e-47,"RPS12/RPL6/RPL17/RPL9/RPL21/RPL27A/RPL35/RPL32/RPL34/RPS3A/RPS15A/RPS27A/RPS19/CNBP/RPL4/RPS4X/UBA52/EEF1D/EIF3G/RPS21/FAU/RPL39/RPSA/RPL31/RPL27/RPS13/RPS7/RPS3/RPL35A/EIF2AK2/RPS27/RPL24/RPS10/RPL7A/RPL12/RPLP1/RPL26/NPM1/RPS25/RPL14/EIF3F/RPL36AL/EIF5/EIF4A2/VCP/RPS28/RPL5/RPL19/RPL38/RPL10/RPLP2/RPL28/RPL11/RPS29/RPS15/EIF3K/RPL3/RPL13/RPL41/RPS26/RPS14/PABPC1/RPS6/RPS23/RPL37/RPL36/RPL30/RPL23A/DHX36",69
"GO:1901740","negative regulation of myoblast fusion","32/599","47/18842",0.680851063829787,21.4166873867794,25.3939523261054,2.52144985421178e-37,5.1172824791228e-34,2.37237451656728e-34,"RPL6/RPL17/RPL9/RPL21/RPL27A/RPL35/RPL32/RPL34/RPL4/UBA52/RPL39/RPL31/RPL27/RPL35A/RPL24/RPL7A/RPL12/RPLP1/RPL14/RPL5/RPL19/RPL38/RPL10/RPLP2/RPL28/RPL11/RPL13/RPL41/RPL37/RPL36/RPL30/RPL23A",32
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion","32/599","49/18842",0.653061224489796,20.5425368811966,24.8197944389792,2.05466876812649e-36,2.77996684327514e-33,1.28879391020416e-33,"RPL6/RPL17/RPL9/RPL21/RPL27A/RPL35/RPL32/RPL34/RPL4/UBA52/RPL39/RPL31/RPL27/RPL35A/RPL24/RPL7A/RPL12/RPLP1/RPL14/RPL5/RPL19/RPL38/RPL10/RPLP2/RPL28/RPL11/RPL13/RPL41/RPL37/RPL36/RPL30/RPL23A",32
"GO:1901739","regulation of myoblast fusion","33/599","58/18842",0.568965517241379,17.8972425306545,23.3535577461768,1.31233465576838e-34,1.33169159194097e-31,6.17372835980165e-32,"RPL6/RPL17/RPL9/RPL21/RPL27A/RPL35/RPL32/RPL34/RPL4/UBA52/RPL39/RPL31/RPL27/RPL35A/RPL24/RPL7A/RPL12/RPLP1/RPL14/RPL5/RPL19/RPL38/RPL10/RPLP2/RPL28/RPL11/RPL13/RPL41/CD53/RPL37/RPL36/RPL30/RPL23A",33
"GO:0060142","regulation of syncytium formation by plasma membrane fusion","33/599","65/18842",0.507692307692308,15.9698471811994,21.9067624536839,2.20546441804414e-32,1.79039601456824e-29,8.30028417788927e-30,"RPL6/RPL17/RPL9/RPL21/RPL27A/RPL35/RPL32/RPL34/RPL4/UBA52/RPL39/RPL31/RPL27/RPL35A/RPL24/RPL7A/RPL12/RPLP1/RPL14/RPL5/RPL19/RPL38/RPL10/RPLP2/RPL28/RPL11/RPL13/RPL41/CD53/RPL37/RPL36/RPL30/RPL23A",33
"GO:0007520","myoblast fusion","33/599","78/18842",0.423076923076923,13.3082059843329,19.7377026453583,4.52926490220441e-29,3.06404770634128e-26,1.42049392929282e-26,"RPL6/RPL17/RPL9/RPL21/RPL27A/RPL35/RPL32/RPL34/RPL4/UBA52/RPL39/RPL31/RPL27/RPL35A/RPL24/RPL7A/RPL12/RPLP1/RPL14/RPL5/RPL19/RPL38/RPL10/RPLP2/RPL28/RPL11/RPL13/RPL41/CD53/RPL37/RPL36/RPL30/RPL23A",33
"GO:0000768","syncytium formation by plasma membrane fusion","33/599","88/18842",0.375,11.7959098497496,18.3937757114465,5.19469823068274e-27,3.01218287404875e-24,1.39644936913051e-24,"RPL6/RPL17/RPL9/RPL21/RPL27A/RPL35/RPL32/RPL34/RPL4/UBA52/RPL39/RPL31/RPL27/RPL35A/RPL24/RPL7A/RPL12/RPLP1/RPL14/RPL5/RPL19/RPL38/RPL10/RPLP2/RPL28/RPL11/RPL13/RPL41/CD53/RPL37/RPL36/RPL30/RPL23A",33
"GO:0140253","cell-cell fusion","33/599","89/18842",0.370786516853933,11.663371536831,18.2713831454913,8.01440942982044e-27,4.06631098445515e-24,1.88514364710479e-24,"RPL6/RPL17/RPL9/RPL21/RPL27A/RPL35/RPL32/RPL34/RPL4/UBA52/RPL39/RPL31/RPL27/RPL35A/RPL24/RPL7A/RPL12/RPLP1/RPL14/RPL5/RPL19/RPL38/RPL10/RPLP2/RPL28/RPL11/RPL13/RPL41/CD53/RPL37/RPL36/RPL30/RPL23A",33
"GO:0006949","syncytium formation","33/599","90/18842",0.366666666666667,11.5337785197551,18.1509306403132,1.22842346035292e-26,5.54018980619166e-24,2.56843454837144e-24,"RPL6/RPL17/RPL9/RPL21/RPL27A/RPL35/RPL32/RPL34/RPL4/UBA52/RPL39/RPL31/RPL27/RPL35A/RPL24/RPL7A/RPL12/RPLP1/RPL14/RPL5/RPL19/RPL38/RPL10/RPLP2/RPL28/RPL11/RPL13/RPL41/CD53/RPL37/RPL36/RPL30/RPL23A",33
"GO:0014902","myotube differentiation","33/599","131/18842",0.251908396946565,7.9239699754043,14.4098540244325,8.91186975283332e-21,3.61732793267505e-18,1.67699489730266e-18,"RPL6/RPL17/RPL9/RPL21/RPL27A/RPL35/RPL32/RPL34/RPL4/UBA52/RPL39/RPL31/RPL27/RPL35A/RPL24/RPL7A/RPL12/RPLP1/RPL14/RPL5/RPL19/RPL38/RPL10/RPLP2/RPL28/RPL11/RPL13/RPL41/CD53/RPL37/RPL36/RPL30/RPL23A",33
