"Sample","Cells","Percentage"
"CID3586",626,2.75
"CID3838",0,0
"CID3921",346,1.52
"CID3941",156,0.69
"CID3946",0,0
"CID3948",251,1.1
"CID3963",169,0.74
"CID4040",0,0
"CID4066",733,3.22
"CID4067",1959,8.62
"CID4290A",3381,14.88
"CID4398",0,0
"CID44041",141,0.62
"CID4461",172,0.76
"CID4463",654,2.88
"CID4465",123,0.54
"CID4471",1555,6.84
"CID4495",624,2.75
"CID44971",1039,4.57
"CID44991",3080,13.55
"CID4513",19,0.08
"CID4515",2105,9.26
"CID45171",592,2.6
"CID4523",1134,4.99
"CID4530N",1913,8.42
"CID4535",1957,8.61
