"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.10838619994147,0.763,0.197,0,"0","CD3E"
0,2.25847361865617,0.708,0.164,0,"0","CD2"
0,2.93913772316105,0.72,0.191,0,"0","CCL5"
0,1.93033988399839,0.835,0.307,0,"0","PTPRC"
0,2.12766641483136,0.699,0.176,0,"0","CD3D"
0,3.00977022618128,0.616,0.103,0,"0","CST7"
0,2.58903152932038,0.658,0.146,0,"0","CD7"
0,2.09608915370093,0.735,0.234,0,"0","CD69"
0,1.64904752287983,0.785,0.286,0,"0","CD52"
0,3.60746632101926,0.564,0.084,0,"0","NKG7"
0,2.28354017609428,0.798,0.338,0,"0","IL32"
0,2.13101726651194,0.684,0.231,0,"0","HCST"
0,2.1122362004183,0.657,0.216,0,"0","IL2RG"
0,1.35363802249648,0.95,0.512,0,"0","SRGN"
0,1.83389011614995,0.669,0.236,0,"0","CYTIP"
0,1.89762586989449,0.711,0.278,0,"0","RAC2"
0,1.75782591108539,0.697,0.268,0,"0","CORO1A"
0,3.17017887235514,0.495,0.078,0,"0","GZMA"
0,2.04402486908349,0.557,0.143,0,"0","TRBC2"
0,3.35374794459888,0.563,0.149,0,"0","CCL4"
0,2.22359541951283,0.522,0.118,0,"0","LCK"
0,1.45338162780566,0.772,0.372,0,"0","CXCR4"
0,1.84898392373013,0.722,0.328,0,"0","DUSP2"
0,1.6115112033726,0.657,0.275,0,"0","RGS1"
0,2.00307923573232,0.495,0.129,0,"0","TRAC"
0,1.79987528729137,0.555,0.192,0,"0","RHOH"
0,0.776164909091465,0.699,0.338,0,"0","LAPTM5"
0,1.0737401959945,0.647,0.287,0,"0","CD37"
0,3.07469149674163,0.429,0.069,0,"0","CTSW"
0,2.29733755835331,0.437,0.089,0,"0","CD96"
0,2.64240739201585,0.42,0.074,0,"0","CD247"
0,1.54473261383548,0.736,0.391,0,"0","TNFAIP3"
0,1.77669441085846,0.674,0.333,0,"0","RGCC"
0,1.84859564240666,0.493,0.154,0,"0","ACAP1"
0,1.98661640283403,0.52,0.182,0,"0","ALOX5AP"
0,2.1244622615084,0.438,0.1,0,"0","CD3G"
0,2.22634512754339,0.436,0.099,0,"0","TRBC1"
0,1.09269864656689,0.848,0.517,0,"0","S100A4"
0,1.62897474470053,0.61,0.28,0,"0","LSP1"
0,1.96483028770964,0.502,0.174,0,"0","SAMSN1"
0,2.83327077162134,0.385,0.059,0,"0","TIGIT"
0,1.23793019255067,0.564,0.244,0,"0","FYB"
0,2.77886780148157,0.395,0.078,0,"0","PTPN22"
0,2.97635668196253,0.376,0.06,0,"0","CD8A"
0,1.7536553175782,0.57,0.254,0,"0","STK17B"
0,2.26010498874664,0.438,0.125,0,"0","GNG2"
0,1.58793509453758,0.518,0.209,0,"0","CD53"
0,3.53736116798846,0.348,0.041,0,"0","GZMB"
0,4.13882508724575,0.34,0.035,0,"0","IFNG"
0,2.1134842835739,0.443,0.141,0,"0","SLA"
0,2.02028295501521,0.403,0.104,0,"0","LAT"
0,1.74929256108637,0.617,0.318,0,"0","EVL"
0,2.53298388785166,0.422,0.128,0,"0","APOBEC3G"
0,1.62513925390178,0.506,0.213,0,"0","LCP1"
0,1.92132642393858,0.44,0.156,0,"0","TAGAP"
0,1.98202552918822,0.407,0.127,0,"0","CLEC2D"
0,2.00749917696153,0.574,0.295,0,"0","DUSP4"
0,2.3642031991437,0.352,0.079,0,"0","SH2D2A"
0,1.48784531848058,0.46,0.188,0,"0","CD48"
0,4.13944736323069,0.296,0.024,0,"0","GZMH"
0,1.83601906873777,0.384,0.116,0,"0","SPOCK2"
0,3.55122082824513,0.302,0.034,0,"0","KLRD1"
0,3.76418142785088,0.296,0.028,0,"0","ZNF683"
0,2.06979133075847,0.36,0.094,0,"0","TBC1D10C"
0,1.62853361052019,0.53,0.265,0,"0","STK17A"
0,2.54314156285586,0.324,0.059,0,"0","GZMM"
