"name","contribution","contribution.scaled","group","contribution.relative.1","pvalues"
"TGFb",0.0889880690064316,0.413350737027089,"HER2",Inf,0
"TGFb",0,0,"TNBC",Inf,0
"SPP1",0.904560981961379,9.96953750115341,"HER2",3,0.390613855224591
"SPP1",0.347246665905895,0.945429882825067,"TNBC",3,0.390613855224591
"MIF",39.4678515801255,37.0537204289532,"HER2",1,0.718572136871846
"MIF",38.1821623725273,36.7397058490468,"TNBC",1,0.718572136871846
"CXCL",1.97215343706568,29.2033559312936,"HER2",0.9,0.794994968504364
"CXCL",2.24678050328819,30.1453996710127,"TNBC",0.9,0.794994968504364
"CCL",0.512525488041136,1.49609928815238,"HER2",0.7,0.306016367532234
"CCL",0.702881167451129,2.83633680476352,"TNBC",0.7,0.306016367532234
