"name","contribution","contribution.scaled","group","contribution.relative.1","pvalues"
"SELE",0,0,"TNBC",Inf,0
"TNF",0,0,"TNBC",Inf,0
"TGFb",0,0,"TNBC",Inf,0
"TWEAK",0,0,"TNBC",Inf,0
"OCLN",0,0,"TNBC",Inf,0
"Netrin",0,0,"TNBC",Inf,0
"CysLTs",0,0,"TNBC",Inf,0
"SN",0,0,"TNBC",Inf,0
"BMP",0,0,"TNBC",Inf,0
"NEGR",0,0,"TNBC",Inf,0
"CEACAM",0.00160975290273849,0.155480502980565,"TNBC",100,1.26361846923828e-05
"SEMA7",0.00183470692560363,0.158708228684109,"TNBC",20,0.00262451171875
"RA",0.00369274865177686,0.178527300252532,"TNBC",10,0.02154541015625
"GDF",0.00503976408581985,0.189021766763237,"TNBC",10,0.20361328125
"SEMA4",0.00739687688452069,0.203803070852143,"TNBC",10,9.53955602455483e-07
"EDN",0.00879422742923567,0.211253037504122,"TNBC",9,0.00250792503356934
"CDH",0.0235622993790782,0.266801324623039,"TNBC",9,0.00468368575064563
"PERIOSTIN",0.0303297629538593,0.28607181230856,"TNBC",8,0.234157396313435
"CD46",0.0306178537645342,0.286847580854814,"TNBC",8,2.91783255092742e-12
"GAP",0.0017568590382825,0.157623598494494,"TNBC",5,0.15625
"COMPLEMENT",0.059441789998483,0.354263483931577,"TNBC",5,0.00433897972106934
"HSPG",0.0166181255913284,0.244065470221252,"TNBC",4,0.149908989667893
"SELPLG",0.0265715206296027,0.275640394035202,"TNBC",4,0.00987714156508446
"DHEAS",0.000571372738602077,0.133914185593085,"TNBC",3,0.17626953125
"WNT",0.000960457648096722,0.143924224395665,"TNBC",3,0.42578125
"CD96",0.00193574729245435,0.160070127890781,"TNBC",3,0.25
"SELL",0.0336121901544239,0.294736031374383,"TNBC",3,0.556640625
"GRN",0.120412839870546,0.472404690607878,"TNBC",3,1.42312357544852e-08
"SPP1",0.347246665905895,0.945429882825067,"TNBC",3,0.390613855224591
"THBS",1.09774264674701,27.9472976116681,"TNBC",3,0.363463348837526
"AGRN",0.00359261024041062,0.177655353366673,"TNBC",2,0.208686586120166
"ANGPT",0.0122105133407172,0.226991157685453,"TNBC",2,0.359375
"CDH5",0.0123647397774337,0.227639722688121,"TNBC",2,0
"GAS",0.0437802686851529,0.319634639733872,"TNBC",2,0.570265954312843
"ESAM",0.052670166867282,0.339707828747729,"TNBC",2,0.125
"Cholesterol",0.0957691668076002,0.426291167504278,"TNBC",2,0.00308060270607744
"NOTCH",0.131151352482486,0.49227054990717,"TNBC",2,0.948868246303579
"IGFBP",0.209734567794741,0.64024072616076,"TNBC",2,0.0001483887731268
"ICAM",0.308741448219225,0.850882002097398,"TNBC",2,0.00191071399284892
"THY1",0.350495616200689,0.953827973132752,"TNBC",2,0.113376617431641
"Prostaglandin",1.07840848006096,27.6332830317617,"TNBC",2,7.47230666330971e-08
"PROS",0.00274489160977954,0.169548606082204,"TNBC",1,0.963226318359375
"EPHB",0.00359096643582271,0.177640910255689,"TNBC",1,0.638671875
"CALCR",0.0153637801828309,0.239478369601134,"TNBC",1,0.3828125
"LAIR1",0.147293776933683,0.522104275463232,"TNBC",1,0.50758421421051
"EGF",0.271267315171255,0.766488778598387,"TNBC",1,0.121491582773641
"ADGRG",0.337831150060674,0.92148142956844,"TNBC",1,0.906361748743024
"VISFATIN",0.694872006227147,2.74704434862347,"TNBC",1,0.0692933139716932
"ADGRE",1.15578928502097,28.2613121915744,"TNBC",1,0.00714990250493204
"FN1",7.79295780808722,32.6575163102638,"TNBC",1,0.656537787695229
"MHC-II",11.3879677777801,33.9135746298893,"TNBC",1,0.775353727106557
"CD99",13.7087663528613,34.5416037897021,"TNBC",1,0.905454068004777
"MIF",38.1821623725273,36.7397058490468,"TNBC",1,0.718572136871846
"COLLAGEN",45.2979537493052,37.6817495887659,"TNBC",1,0.238074827669646
"CLEC",0.530306638353658,1.5765413750875,"TNBC",0.9,0.518291093823791
"ANNEXIN",0.960974823253181,25.1211663925106,"TNBC",0.9,0.3883751543265
"CXCL",2.24678050328819,30.1453996710127,"TNBC",0.9,0.794994968504364
"LAMININ",4.22574163002067,32.3435017303574,"TNBC",0.9,0.0077768084406189
"APP",16.7397294979472,35.4836475294212,"TNBC",0.9,0.0629002123577551
"CADM",0.000637924401521817,0.135919597395657,"TNBC",0.8,0
"PTPRM",0.0024494561965212,0.166337063131848,"TNBC",0.8,0
"PDGF",0.0143012033761638,0.235437507782339,"TNBC",0.8,0.462777614593506
"JAM",0.0827205664973614,0.4012378959671,"TNBC",0.8,0.0206986370041149
"PECAM1",0.212263791948613,0.645192311099203,"TNBC",0.8,0.123708348798345
"VEGF",0.116269481597763,0.464717558986928,"TNBC",0.7,0.860260009765625
"CCL",0.702881167451129,2.83633680476352,"TNBC",0.7,0.306016367532234
"GALECTIN",3.83298156301271,32.029487150451,"TNBC",0.7,0.0487024616140763
"CypA",24.4482323706875,36.111676689234,"TNBC",0.7,9.1372517707633e-07
"SEMA3",0.0376708744849956,0.304983301196917,"TNBC",0.6,0.131590686738491
"CHEMERIN",0.0418143249194713,0.315008620692151,"TNBC",0.6,0.640625
"TENASCIN",0.0692650330505711,0.374557777370678,"TNBC",0.6,0.0278253746000701
"Desmosterol",0.229515411754014,0.679447020678941,"TNBC",0.6,0.000175448973624315
"ANGPTL",0.450579675091837,1.25435833337804,"TNBC",0.6,0.000182539303054119
"PLAU",0.79621202079165,4.38808638217684,"TNBC",0.6,0.000798097992948055
"ApoE",1.30526923714468,28.5753267714808,"TNBC",0.6,0.000257795914027747
"IFN-II",0.135650368640448,0.500582046193831,"TNBC",0.5,0.0310333909299629
"MK",28.8227671420483,36.4256912691404,"TNBC",0.5,0
"CD6",0.038070196216388,0.305967259153776,"TNBC",0.4,0.1590576171875
"CD45",0.422459474391996,1.16054820090524,"TNBC",0.4,0.0291509032249451
"KLK",0.0281120079512241,0.27998981673816,"TNBC",0.3,0.1748046875
"PARs",0.121036440011176,0.473560272463764,"TNBC",0.3,0.00533044338226319
"MPZ",0.422457469436917,1.16054180878999,"TNBC",0.3,3.22820659093281e-10
"IGF",0.020614037590471,0.257613576107122,"TNBC",0.2,0.00710105895996094
"IL16",0.0269304817888533,0.27666370821119,"TNBC",0.2,0.16015625
"DHT",0.230309875267103,0.681046002699627,"TNBC",0.2,1.01085420651792e-05
"DESMOSOME",0.234149891098948,0.688803047777152,"TNBC",0.2,5.56990142897007e-09
"PTN",2.23892036147652,29.8313850911064,"TNBC",0.2,2.06501482580279e-14
"CLDN",3.35374759728268,31.4014579906383,"TNBC",0.2,1.61174418256138e-08
"MHC-I",10.6342296769461,33.2855454700766,"TNBC",0.2,9.94425164435597e-08
"FLT3",0.00110742277792343,0.14693522971817,"TNBC",0.1,0
"VCAM",0.0269735249467522,0.276786003431788,"TNBC",0.1,0.0006103515625
"PECAM2",0.0405146812136453,0.311906318346623,"TNBC",0.1,0.0155029296875
"CD39",0.0135783025546836,0.232596969130244,"TNBC",0.09,0.00836181640625
"CD70",0.0287193011304276,0.28167539303584,"TNBC",0.09,0
"FGF",0.100654117405116,0.43552769819875,"TNBC",0.09,1.49011611938476e-06
"Testosterone",0.368485093087812,1.00164768929279,"TNBC",0.08,3.17632142809998e-10
"OSM",0.0173424767294192,0.246633667201044,"TNBC",0.03,0.15625
"EPHA",0.00978806511270318,0.216141840938351,"TNBC",0.009,0.0078125
"L1CAM",8.71706878350978e-05,0.106978845976286,"TNBC",0,0
"PCDH",0.000108450651919936,0.109538439625112,"TNBC",0,0
"SEMA5",0.000444347582807528,0.129552080225987,"TNBC",0,0
"SLIT",0.000538352267387502,0.13285510032047,"TNBC",0,0
"ncWNT",0.000889441925557288,0.14235044964769,"TNBC",0,0
"PVR",0.000974006335870042,0.144214973198155,"TNBC",0,0
"CSPG4",0.00248177134179846,0.166700486777081,"TNBC",0,0
"APRIL",0.00304108920551872,0.172546489194212,"TNBC",0,0
"IL10",0.00346402411857491,0.176512401146937,"TNBC",0,0
"Adenosine",0.00445386509624768,0.184706896976969,"TNBC",0,0
"FASLG",0.00560482949856303,0.192896522205379,"TNBC",0,0
"PTPR",0.0140044539354454,0.234280929157502,"TNBC",0,0
"TRAIL",0.0154049803172077,0.239632054108623,"TNBC",0,0
"BAG",0.0162073758597295,0.24258368074671,"TNBC",0,0
"HGF",0.0173329472295743,0.246600238139376,"TNBC",0,0
"BAFF",0.0185757250034944,0.250884388921797,"TNBC",0,0
"ADGRA",0.0239621204986916,0.268004472953469,"TNBC",0,0
