"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,5.72770046417956,0.559,0.035,0,"RRM2"
0,5.65157376019754,0.468,0.028,0,"PLK1"
0,5.5775925237976,0.693,0.091,0,"UBE2C"
0,5.33218468251379,0.676,0.046,0,"MKI67"
0,5.30101644566161,0.474,0.027,0,"CENPA"
0,5.28906861656178,0.655,0.059,0,"NUSAP1"
0,5.25479444841835,0.341,0.015,0,"NCAPH"
0,5.20698868823888,0.418,0.019,0,"CCNA2"
0,5.12547350281711,0.338,0.015,0,"DLGAP5"
0,5.09242427936099,0.333,0.014,0,"CKAP2L"
0,5.05143855969282,0.454,0.029,0,"CDCA3"
0,4.93304344874495,0.574,0.055,0,"CCNB2"
0,4.91903661225512,0.254,0.015,0,"HIST1H1B"
0,4.91779060523724,0.603,0.06,0,"CDK1"
0,4.87297812685542,0.395,0.022,0,"GTSE1"
0,4.83390714094177,0.372,0.019,0,"SPC25"
0,4.83056761902738,0.661,0.062,0,"TPX2"
0,4.82869441499725,0.349,0.016,0,"KIF4A"
0,4.73673736514235,0.39,0.021,0,"AURKB"
0,4.73542824764704,0.354,0.021,0,"KIF2C"
0,4.73372719819983,0.343,0.023,0,"NDC80"
0,4.68189834137929,0.302,0.016,0,"NCAPG"
0,4.63430517654893,0.472,0.05,0,"TOP2A"
0,4.58373124652946,0.278,0.018,0,"KIF14"
0,4.57792523621883,0.484,0.035,0,"KIFC1"
0,4.55358627209145,0.359,0.028,0,"DEPDC1"
0,4.54925141079899,0.702,0.082,0,"BIRC5"
0,4.51440784114304,0.381,0.026,0,"CASC5"
0,4.48389922504448,0.339,0.024,0,"NEK2"
0,4.47822445642544,0.453,0.04,0,"ASPM"
0,4.46502209751858,0.555,0.078,0,"CDC20"
0,4.42463051109995,0.48,0.036,0,"NUF2"
0,4.40139202018268,0.317,0.016,0,"HJURP"
0,4.38987676169739,0.597,0.065,0,"CDKN3"
0,4.38133535889873,0.37,0.03,0,"PRR11"
0,4.37273110058394,0.283,0.019,0,"BUB1B"
0,4.32850723175901,0.672,0.086,0,"PRC1"
0,4.32432696533796,0.405,0.034,0,"MND1"
0,4.31914977584823,0.455,0.043,0,"KIF23"
0,4.31663659854454,0.526,0.05,0,"CDCA8"
0,4.30752663859614,0.359,0.026,0,"HMMR"
0,4.30294150638697,0.755,0.103,0,"TYMS"
0,4.27200034828399,0.348,0.026,0,"PBK"
0,4.24436771516447,0.272,0.019,0,"FAM64A"
0,4.22960476567727,0.689,0.123,0,"CENPF"
0,4.19454367841489,0.253,0.015,0,"ESCO2"
0,4.09946950478825,0.403,0.038,0,"SGOL1"
0,4.08532381781672,0.634,0.112,0,"PTTG1"
0,4.07514728435439,0.257,0.02,0,"MTFR2"
0,4.05034608555779,0.3,0.022,0,"SPC24"
0,4.02736875797913,0.373,0.036,0,"OIP5"
0,4.00827690801342,0.553,0.064,0,"PKMYT1"
0,3.94611397761036,0.282,0.02,0,"CEP55"
0,3.93316901759055,0.35,0.041,0,"CENPE"
0,3.91155270108075,0.475,0.048,0,"CDCA5"
0,3.90219856036957,0.396,0.033,0,"FOXM1"
4.24131498749452e-304,3.89026506287693,0.254,0.023,1.1756501013836e-299,"TTK"
0,3.85929273454993,0.338,0.029,0,"MELK"
0,3.84674865489138,0.464,0.048,0,"MYBL2"
0,3.83511748425535,0.316,0.038,0,"MXD3"
0,3.821632472879,0.333,0.035,0,"TROAP"
0,3.76989276363393,0.423,0.07,0,"AURKA"
0,3.73757226289482,0.517,0.132,0,"CCNB1"
0,3.71532406784936,0.395,0.042,0,"DIAPH3"
0,3.7031142902323,0.855,0.466,0,"HIST1H4C"
0,3.66419683191489,0.293,0.028,0,"CDCA2"
0,3.64290223602294,0.313,0.033,0,"ARHGAP11A"
0,3.63080095659814,0.432,0.052,0,"FANCI"
0,3.63048058487527,0.552,0.073,0,"ASF1B"
0,3.52734980475563,0.325,0.042,0,"TACC3"
0,3.5167072527653,0.366,0.038,0,"ANLN"
0,3.45503001352023,0.391,0.058,0,"FAM83D"
7.38615959556824e-221,3.39828483261765,0.27,0.047,2.04736957829556e-216,"LKAAEAR1"
0,3.374610744381,0.402,0.066,0,"FAM111B"
0,3.34908493061877,0.424,0.064,0,"CLSPN"
1.09503171254179e-291,3.31404414017741,0.291,0.037,3.03531840399458e-287,"RAD51"
2.14254042329311e-232,3.28226494119602,0.312,0.061,5.93890779932616e-228,"HIST1H1D"
0,3.27677672755082,0.649,0.136,0,"ZWINT"
1.01936755611994e-273,3.27600972129296,0.275,0.035,2.82558492880887e-269,"ARHGAP11B"
6.27637435459207e-260,3.26354951301338,0.289,0.044,1.73974820734938e-255,"KIAA1524"
0,3.24273691736911,0.477,0.083,0,"RAD51AP1"
0,3.23390229213938,0.312,0.037,0,"SHCBP1"
0,3.21268617036908,0.436,0.081,0,"SGOL2"
3.55334231555556e-270,3.16077719752212,0.283,0.039,9.84950956448846e-266,"CDC45"
2.93490965013646e-262,3.15007806125116,0.255,0.03,8.13527605921326e-258,"MCM10"
6.54127247441403e-294,3.14336793090706,0.334,0.053,1.81317531718283e-289,"RACGAP1"
1.26184380787453e-238,3.06392419435764,0.263,0.038,3.49770485104742e-234,"PARPBP"
0,3.02039050164859,0.497,0.101,0,"CENPU"
8.01066826347635e-226,3.00735875325451,0.431,0.124,2.22047713595301e-221,"HIST1H1E"
0,3.00655083115824,0.405,0.07,0,"CENPK"
0,3.00326004951857,0.52,0.099,0,"PHF19"
