"Comparison","Z","P.unadj","P.adj","state"
"ER+ - HER2+",-1.73777240776129,0.0822509243507733,0.12337638652616,"Basal-like"
"ER+ - TNBC",-2.38801717967442,0.0169395499119412,0.0508186497358237,"Basal-like"
"HER2+ - TNBC",-0.371015886975319,0.710625698798121,0.710625698798121,"Basal-like"
"ER+ - HER2+",-1.44107179972099,0.149564399507805,0.224346599261708,"Cycling/Proliferative"
"ER+ - TNBC",-3.26384334030323,0.00109911921236732,0.00329735763710195,"Cycling/Proliferative"
"HER2+ - TNBC",-1.03408897910597,0.30109456797326,0.30109456797326,"Cycling/Proliferative"
"ER+ - HER2+",-1.33669918301851,0.181320848725683,0.271981273088525,"EMT/Mesenchymal"
"ER+ - TNBC",-3.01130438592959,0.00260127947565902,0.00780383842697706,"EMT/Mesenchymal"
"HER2+ - TNBC",-1.05808214006572,0.290017996058461,0.290017996058461,"EMT/Mesenchymal"
"ER+ - HER2+",-2.42586148029285,0.0152720981475369,0.0458162944426108,"Luminal Progenitor-like"
"ER+ - TNBC",-1.84273850482259,0.0653671992333664,0.0980507988500495,"Luminal Progenitor-like"
"HER2+ - TNBC",1.00010503650047,0.317259679016255,0.317259679016255,"Luminal Progenitor-like"
"ER+ - HER2+",1.94879506305876,0.0513199035880712,0.0769798553821068,"Mature Luminal-like"
"ER+ - TNBC",2.59177211908816,0.00954829953572466,0.028644898607174,"Mature Luminal-like"
"HER2+ - TNBC",0.234403615469248,0.814671652089333,0.814671652089333,"Mature Luminal-like"
