"orig.ident","subtype","malignant_state","n","prop"
"CID3586","HER2+","Basal-like",1,1
"CID3921","HER2+","Basal-like",3,0.0247933884297521
"CID3921","HER2+","Cycling/Proliferative",5,0.0413223140495868
"CID3921","HER2+","EMT/Mesenchymal",6,0.0495867768595041
"CID3921","HER2+","Luminal Progenitor-like",106,0.87603305785124
"CID3921","HER2+","Mature Luminal-like",1,0.00826446280991736
"CID3948","ER+","Basal-like",11,0.0604395604395604
"CID3948","ER+","Cycling/Proliferative",5,0.0274725274725275
"CID3948","ER+","EMT/Mesenchymal",1,0.00549450549450549
"CID3948","ER+","Luminal Progenitor-like",7,0.0384615384615385
"CID3948","ER+","Mature Luminal-like",158,0.868131868131868
"CID3963","TNBC","Basal-like",18,0.305084745762712
"CID3963","TNBC","Cycling/Proliferative",13,0.220338983050847
"CID3963","TNBC","EMT/Mesenchymal",20,0.338983050847458
"CID3963","TNBC","Luminal Progenitor-like",8,0.135593220338983
"CID4066","HER2+","Basal-like",9,0.0918367346938776
"CID4066","HER2+","Cycling/Proliferative",17,0.173469387755102
"CID4066","HER2+","EMT/Mesenchymal",4,0.0408163265306122
"CID4066","HER2+","Luminal Progenitor-like",5,0.0510204081632653
"CID4066","HER2+","Mature Luminal-like",63,0.642857142857143
"CID4067","ER+","Cycling/Proliferative",11,0.0158273381294964
"CID4067","ER+","Luminal Progenitor-like",7,0.0100719424460432
"CID4067","ER+","Mature Luminal-like",677,0.97410071942446
"CID4290A","ER+","Basal-like",17,0.0201183431952663
"CID4290A","ER+","Cycling/Proliferative",19,0.0224852071005917
"CID4290A","ER+","EMT/Mesenchymal",13,0.0153846153846154
"CID4290A","ER+","Luminal Progenitor-like",140,0.165680473372781
"CID4290A","ER+","Mature Luminal-like",656,0.776331360946746
"CID4461","ER+","Basal-like",7,0.134615384615385
"CID4461","ER+","Cycling/Proliferative",9,0.173076923076923
"CID4461","ER+","Mature Luminal-like",36,0.692307692307692
"CID4463","ER+","Basal-like",2,0.00412371134020619
"CID4463","ER+","Cycling/Proliferative",20,0.0412371134020619
"CID4463","ER+","EMT/Mesenchymal",3,0.00618556701030928
"CID4463","ER+","Luminal Progenitor-like",2,0.00412371134020619
"CID4463","ER+","Mature Luminal-like",458,0.944329896907216
"CID4465","TNBC","Basal-like",1,0.0303030303030303
"CID4465","TNBC","Cycling/Proliferative",25,0.757575757575758
"CID4465","TNBC","EMT/Mesenchymal",2,0.0606060606060606
"CID4465","TNBC","Luminal Progenitor-like",5,0.151515151515152
"CID4471","ER+","Cycling/Proliferative",11,0.0723684210526316
"CID4471","ER+","EMT/Mesenchymal",4,0.0263157894736842
"CID4471","ER+","Luminal Progenitor-like",1,0.00657894736842105
"CID4471","ER+","Mature Luminal-like",136,0.894736842105263
"CID4495","TNBC","Basal-like",52,0.152492668621701
"CID4495","TNBC","Cycling/Proliferative",108,0.316715542521994
"CID4495","TNBC","EMT/Mesenchymal",177,0.519061583577713
"CID4495","TNBC","Luminal Progenitor-like",4,0.0117302052785924
"CID44971","TNBC","Basal-like",93,0.254098360655738
"CID44971","TNBC","Cycling/Proliferative",26,0.0710382513661202
"CID44971","TNBC","EMT/Mesenchymal",170,0.46448087431694
"CID44971","TNBC","Luminal Progenitor-like",76,0.207650273224044
"CID44971","TNBC","Mature Luminal-like",1,0.00273224043715847
"CID44991","TNBC","Basal-like",342,0.127184827073261
"CID44991","TNBC","Cycling/Proliferative",1036,0.38527333581257
"CID44991","TNBC","EMT/Mesenchymal",56,0.0208255857195984
"CID44991","TNBC","Luminal Progenitor-like",1168,0.434362216437337
"CID44991","TNBC","Mature Luminal-like",87,0.0323540349572332
"CID4515","TNBC","Basal-like",329,0.229909154437456
"CID4515","TNBC","Cycling/Proliferative",329,0.229909154437456
"CID4515","TNBC","EMT/Mesenchymal",554,0.387141858839972
"CID4515","TNBC","Luminal Progenitor-like",219,0.153039832285115
"CID45171","HER2+","Basal-like",39,0.253246753246753
"CID45171","HER2+","Cycling/Proliferative",36,0.233766233766234
"CID45171","HER2+","EMT/Mesenchymal",1,0.00649350649350649
"CID45171","HER2+","Luminal Progenitor-like",78,0.506493506493506
"CID4523","TNBC","Basal-like",164,0.611940298507463
"CID4523","TNBC","Cycling/Proliferative",79,0.294776119402985
"CID4523","TNBC","EMT/Mesenchymal",6,0.0223880597014925
"CID4523","TNBC","Luminal Progenitor-like",13,0.0485074626865672
"CID4523","TNBC","Mature Luminal-like",6,0.0223880597014925
"CID4530N","ER+","Cycling/Proliferative",3,0.00247116968698517
"CID4530N","ER+","EMT/Mesenchymal",1,0.000823723228995058
"CID4530N","ER+","Luminal Progenitor-like",16,0.0131795716639209
"CID4530N","ER+","Mature Luminal-like",1194,0.983525535420099
"CID4535","ER+","Basal-like",5,0.00367107195301028
"CID4535","ER+","Cycling/Proliferative",70,0.0513950073421439
"CID4535","ER+","EMT/Mesenchymal",2,0.00146842878120411
"CID4535","ER+","Mature Luminal-like",1285,0.943465491923642
